どくとく[独特]  독특
ぐんたい[軍隊]  군대
-や[夜]  한 달의 …번째의 밤; 밤의 수
-け[家]  …가; …의 일문; …의 집안
げ[下]  하; 아래; 열등함; 열등한 것
けい[計]  계; 계획; 합계
けいい[敬意]  경의
くろじ[黒字]  흑자; 이익
くわえる[銜える·啣える]  물다; 데리고 있다; 동반하다
のち[後]  뒤; 후; 미래; 장래; 사후
ほがらか[朗らか]  쾌활한 모양; 쾌청함
もよおし[催し]  주최; 회합; 징조; 기미; 재촉
くん[訓]  훈; 자훈; 가르침; 훈계
けいこ[稽古]  배움
けいご[敬語]  경어; 높임말
けいこう[傾向]  경향
けいこうとう[蛍光灯]  형광등
けいこく[警告]  경고
けいき[契機]  계기
くんれん[訓練]  훈련
けいぞく[継続]  계속
けいき[景気]  경기; 호경기; 활동 상태나 위세; 기운
けいようし[形容詞]  형용사; 수식어
けいようどうし[形容動詞]  형용 동사
けいじ[掲示]  게시
けいじ[刑事]  형사; 형법의 적용을 받아 그에 따라 처리되어야 할 사항; 범죄 수사를 담당하는 경찰관의 통칭
けいしき[形式]  형식
のぞく[覗く·窺く·覘く]  엿보다; 들여다 보다; 앞으로 내밀 듯하며 밑을 내려다 보다; 일부분만 밖에 나타나다
やくしょ[役所]  관청; 관공서
のぞみ[望み]  바라는 마음; 소망; 희망하는 일; 가망; 전망
やくす[訳す]  번역하다; 해석하다; 새기다
けいど[経度]  경도
やくしゃ[役者]  배우; 광대; 연극을 잘 하는 사람
けいば[競馬]  경마
げいのう[芸能]  예능; 연예; →げいごと
けいび[警備]  경비
けいゆ[経由]  경유
けつあつ[血圧]  혈압
やく[役]  직무; 직책; 역; 구실; 그 사람이 지닌 임무·역할·지위 등을 나타내는 말
のがす[逃す]  놓치다; …할 기회가 있으면서 결과적으로 …하지 않고 말다
げっきゅう[月給]  월급
のうど[濃度]  농도; 액체 따위의 짙은 정도; 기수
のき[軒]  처마; 건물 밖으로 내어 댄 차양
けっかん[欠陥]  결함
のぞむ[望む]  바라다; 소망하다; 바라다보다; 조망하다; 따르다; 흠모하다
げか[外科]  외과
げきぞう[激増]  격증
けがわ[毛皮]  모피; 털가죽
げき[劇]  극; 연극
げきじょう[劇場]  극장
のう[能]  능함; 재능; 능사; 효능
のうぎょう[農業]  농업; 농경
のうさんぶつ[農産物]  농산물
げしゃ[下車]  하차
のこぎり[鋸]  톱
のこり[残り]  남은 것; 나머지; 뒤에 남음
のこらず[残らず]  남김없이; 전부; 모두
けた[桁]  도리; 또, 다리의 횡목; 자릿수; 규모; 수준
けずる[削る]  깎다; 깎아내다; 줄이다; 삭감하다
くどい[諄い]  지루할 정도로 장황하다; 끈덕지다; 느끼하다; 칙칙하다
くとうてん[句読点]  구두점
ね[値]  값; 가치; 값어치
くぶん[区分]  구분
よとう[与党]  여당; 정부를 지지하는 정당; 도당; 패거리
くふう[工夫·功夫]  여러 가지로 궁리함; 고안함; 주어진 공안에 관해 깊이 생각함
くみ[組]  조; 반; 학급; 한 패의 사람들; 패
くみ[組(み)]  세트; 쌍; 조판; ‘くみいと’의 준말
くみあい[組合]  조합; 특히, 노동조합
くみあい[組(み)合(い)]  맞붙어 싸움
くみあわせ[組み合(わ)せ]  짜 맞춤; 편성; 조합; →じゅんれつ
くみたてる[組(み)立てる]  조립하다; 구성하다; 조직하다
より  보다; 한결; 더욱더
くれ[暮(れ)]  저묾; 저물 때; 저녁때; 해질 녘; 계절·한해의 마지막
くやむ[悔(や)む]  후회하다; 애석하게 여기다; 조상하다; 애도하다
よめ[嫁]  며느리; 신혼 여성; 결혼 상대로서의 여성; 아내
のぼる[昇る]  높이 올라가다; 지위가 오르다; 또, 승급하다; 떠오르다
のべる[述べる]  말하다; 진술하다; 기술하다
くるう[狂う]  미치다; 이상해지다; 발광하다; 지나치게 열중하다
くるむ[包む]  휩싸다; 둘러싸다; →くるめる
ぼしゅう[募集]  모집
くろ[黒]  검은 빛깔; 검정; 검은 색과 관계 있는 것; 검은 바둑돌; 흑
もんどう[問答]  문답; 물음과 답; 말다툼; 논쟁
げた[下駄]  나막신; 복자; 수상 비행기의 플로트
けむい[煙い]  →けむたい1
やこう[夜行]  야행; 밤에 감; ‘夜行列車’의 준말
のうやく[農薬]  농약
けっさく[傑作]  걸작; 뛰어난 작품; 별나고 야릇한 언동이나 모양
やく[訳]  역; 번역; 옛글·어려운 말을 현대말 또는 알기 쉬운 말로 해석함; →やくする
けんかい[見解]  견해; 의견
-ほ[歩]  …보; 걸음 횟수를 재는 단위
げつまつ[月末]  월말
のうか[農家]  농가; 농사 짓는 집
げつよう[月曜]  월요
けはい[気配]  기미; 기색; 경기; 시세
やかん[薬缶]  주전자; ‘やかんあたま’의 준말
げんし[原始]  원시
やく[約]  약속; 약정; 생략; 줄임; 약; 대략
けん[券]  ‘引換券’ ‘入場券’ ‘乗車券’ 따위의 약칭; 표; …권
けん[県]  현; 일본의 행정 구분으로, 都·道·府와 함께 가장 큰 지방 공공 단체
けん[権]  권; 권도; …권; 권력; 권세
けんがく[見学]  견학
のうりつ[能率]  능률; →モーメント
けんきょ[謙虚]  겸허
ねったい[熱帯]  열대
ねっする[熱する]  뜨겁게 하다; 열하다; 뜨거워지다; 열중하다; 흥분하다
ねらう[狙う]  겨누다; 겨냥하다; 노리다; 엿보다
げんこう[原稿]  원고
やくわり[役割]  역할; 역을 할당함; 또, 그 사람; 할당된 일; 임무
やがて[軈て]  얼마 안 있어; 머지않아; 즉시; 지체 없이; 변함없이 그대로
げんさん[原産]  원산
こうえん[講演]  강연
ごういん[強引]  반대나 장애를 물리치고 억지로 하는 모양
こ-[小]  작은; 근소한; 약간; 얕보거나 무시하는 기분을 나타냄
-こ[湖]  …호
ご[後]  후; 뒤; …후
ご[碁]  바둑
けんめい[賢明]  현명
げんゆ[原油]  원유
ごう[号]  호; 명칭; 탈것이나 동물 따위에 붙이는 말
こうげき[攻撃]  공격
こうか[高価]  고가; 값이 비쌈
もんじ[文字]  문자; 글자; 문장
やや  어유
こうか[硬貨]  경화; 금속 화폐
ごうか[豪華]  호화
こうがい[公害]  공해
ゆうかん[夕刊]  석간
こうかん[交換]  교환; 어느 한 쪽이 옆으로 비켜서 엇갈리는 일; ‘電話交換手’ ‘電話交換台’의 준말
はい[灰]  재
こうきょう[公共]  공공
こうくう[航空]  항공
こうけい[光景]  광경
こうげい[工芸]  공예
ごうけい[合計]  합계; 총액
こうけん[貢献]  공헌; 이바지
はあ  네; 허어; 예
-もん[問]  …문; 질문·문제의 뜻
ば[場]  장소; 곳; 자리; 때; 경우
ねんれい[年齢]  연령; 나이; →げつれい
けんしゅう[研修]  연수
げんしょう[現象]  현상
げんじょう[現状]  현상
げんじゅう[厳重]  엄중
けんちく[建築]  건축
けんそん[謙遜]  겸손; 겸허; 겸양
けんちょう[県庁]  현청
げんに[現に]  목전에; 실제로; 지금
はいく[俳句]  일본의 5·7·5의 3구 17음으로 되는 단형시
けんとう[検討]  검토
けんとう[見当]  목표; 방향; 부근; 어림; 예상
けんめい[懸命]  힘껏 함; 결사적으로 함
けんり[権利]  권리
げんり[原理]  원리
げんりょう[原料]  원료
げんば[現場]  현장
ぼう[棒]  몽둥이; 막대기; 멜대; 줄
へる[綜る]  날실을 베틀에 걸다
けんぽう[憲法]  헌법
こいしい[恋しい]  그립다
こう-[高]  고…; 높다는 뜻; 연상
-こう[港]  …항; 항구
ぼうけん[冒険]  모험
こう[校]  학교; 교정; 교정의 횟수를 가리키는 말
けんびきょう[顕微鏡]  현미경
こういん[工員]  공원
のり[糊]  풀
こきゅう[呼吸]  호흡; 일의 요령; 미립
ばからしい[馬鹿らしい]  어리석다; 시시하다; 어처구니없다
-こく[国]  …나라; …국
ごく[語句]  어구; 어귀; 말
ごく[極]  극히; 대단히
こくおう[国王]  국왕
こくふく[克服]  극복; 곤란을 이겨냄
はきけ[吐き気]  구역질; 욕지기
はかせ[博士]  박사; →はくし; 학자; 식자
こくもつ[穀物]  곡물; 곡식; 곡류
こげる[焦げる]  눋다; 타다
こごえる[凍える]  얼다; 추위로 곱아지다
こくせき[国籍]  국적
はがす[剝がす]  벗기다; 떼다
ばくはつ[爆発]  폭발
ごくろうさま[御苦労様]  수고하셨습니다; 수고를 하셨군요
こうち[耕地]  경지; 경작지
こうむ[公務]  공무
こうもく[項目]  항목; 조목
ごうとう[強盗]  강도
のろい[鈍い]  느리다; 둔하다; 재빠르지 않다; 더디다
こうとう[高等]  고등
ほうしん[方針]  방침
こえる[越える]  넘다; 건너다
こえる[超える]  지나가다; 기준을 넘다; 보다 낫다
こうぶつ[鉱物]  광물
こうへい[公平]  공평
こうほ[候補]  후보
こがす[焦がす]  눌리다; 태우다; 향을 태우다
はさん[破産]  파산
ごうり[合理]  합리
こうりゅう[交流]  교류
みっともない  보기 흉하다; 꼴사납다; 창피하다
こうりょ[考慮]  고려
はさむ[挟む]  끼다; 사이에 두다; 집다
はさみ[鋏]  가위; 표찍는 가위; 개표 가위
こおる[凍る]  얼다; 차게  되다
はさまる[挟まる]  틈에 끼이다
はかり[秤·衡]  저울
こうさ[交差]  교차
こうさく[耕作]  경작
こうし[講師]  강사; →こうじ
こうしき[公式]  공식; 공적으로 정해진 방식; 일반적으로 통하는 법칙을 나타낸 관계식
こうじつ[口実]  구실; 핑계; 음식; 전하여, 생활의 근원
のんき[呑気·暢気·暖気]  성격이 느긋한 모양; 걱정·근심이 없는 모양; 무사태평
こうしゃ[後者]  후자; 둘 중의 뒤의 것; 뒤를 잇는 사람; 후세 사람
こうしゃ[校舎]  교사
こうしゅう[公衆]  공중
こうせい[公正]  공정
こうせい[構成]  구성
こうせき[功績]  공적; 공로
こうせん[光線]  광선
こうそう[高層]  고층
こうぞう[構造]  구조
こうそく[高速]  고속; ‘高速道路’의 준말
こうじょう[向上]  향상
こうつうきかん[交通機関]  교통 기관
ゆうえんち[遊園地]  유원지
こうてい[肯定]  긍정
こうど[高度]  높이; 높은 정도; 해수면에서의 높이; 정도가 높음
こうすい[香水]  향수
やね[屋根]  지붕; 덮개
ぼうえんきょう[望遠鏡]  망원경
こうひょう[公表]  공표; 세상에 널리 알림
はし[端]  끝; 선단; 시초; 처음; 가장자리
こうたい[交替·交代]  교체; 교대
あんてい[安定]  안정
あんまり[余り]  너무; 지나치게; 과히; 그다지; 과도함; 지나침
いいん[委員]  위원
い[胃]  위
ちしき[知識]  지식
いいつける[言いつける]  분부하다; 명령하다; 고자질하다; 늘 말하다
いえ[否]  아뇨
いがい[意外]  의외
いくぶん[幾分]  일부분; 어느 정도; 얼마
いけない  좋지 않다; 나쁘다; 바람직하지 않다; 성과가 좋지 않다
いけばな[生(け)花]  꽃꽂이; 또, 꽃꽂이한 꽃
いき[息]  숨; 호흡; 호흡하는 공기
ちじ[知事]  지사
ちしつ[地質]  지질
てんねん[天然]  천연; 인공을 가하지 않은 자연 그대로의 상태; 인력으로는 어떻게 할 수 없는 상태
でんぱ[電波]  전파
いし[意思]  의사
ちかぢか[近近]  근근; 머지않아; 붙을 정도로 가까이; 바싹
ちかごろ[近頃]  최근; 요사이; 매우
いじ[維持]  유지
いしき[意識]  의식
ちかよる[近寄る]  접근하다; 가까이 가다; 친근히 하다
ちからづよい[力強い]  마음 든든하다; 힘차다
ちがいない[違いない]  틀림없다; 확실하다; 정말이다; 그렇다
いく-[幾]  몇…; 얼마의; 수…; 여러
ちかう[誓う]  맹세하다; 서약하다
いしょくじゅう[衣食住]  의식주
みょう[妙]  인지가 미치지 못할 정도로 뛰어남; 묘함; 이상함
いこう[以降]  이강; 이후
とう[党]  당; 동아리; 무리; …당; 정당
でんりゅう[電流]  전류
いし[意志·意思]  의지; 의사; 뜻
ちぢれる[縮れる]  주름이 져서 오그라지다; 주름이 지다; 작아지다; 좁아지다
いだく[抱く]  안다; 보듬다
いだい[偉大]  위대
いじょう[異常]  이상
いち[位地]  지위; 계급
いち[位置]  위치
たんぼ[田圃]  논
いちおう[一応·一往]  우선; 어떻든; 좀더
いずれ[何れ·孰れ]  부정칭의 지시 대명사; 어느; 어디; 어느 쪽
いずみ[泉]  샘; 샘물; 원천
でんりょく[電力]  전력
あらし[嵐]  광풍; 폭풍; 폭풍우
ためす[試す]  시험하다; 실지로 해보다
あまやかす[甘やかす]  어하다; 응석 부리게 하다
あまる[余る]  남다; 어떤 수량을 넘다; 이상이 되다; 자기 능력 이상이다; 지나치다
あらためて[改めて]  새롭게 다시 하는 모양; 딴 기회에; 새삼스럽게
あらためる[改める]  고치다; 변경하다; 조사하다; 검사하다
あやまち[過ち]  잘못; 실수; 과오; 오류
あらわす[現(わ)す]  드러내다; 나타내다; 널리 세상에 알리다
あらわす[著(わ)す]  저술하다
あらわれ[現(わ)れ]  표현; 발로; 결과
もちいる[用いる]  쓰다; 사용하다; 이용하다; 신경을 쓰다; 배려하다
あらゆる[有らゆる]  모든; 일체의; 온갖
とういつ[統一]  통일
ありがとう[有り難う]  고맙다; 고마워; 고맙소
あやうい[危うい]  危うきこと累卵の如し 누란의 위기; 위태롭다; 위험하다
ためいき[ため息]  한숨
ある[或(る)]  어떤; 어느
あるいは[或いは]  혹은; 또는; 혹은 … 혹은 …; 어쩌면; 혹
とうぜん[当然]  당연
あれる[荒れる]  거칠어지다; 난폭히 굴다; 날뛰다; 사나워지다; 거세어지다
とおりかかる[通りかかる]  지나가다; 마침 지나가다
あらすじ[粗筋·荒筋]  대충의 줄거리; 개략; 개요
あらそう[争う]  다투다; 싸우다; 경쟁하다
あらた[新た]  새로움; 또, 새로 시작함; 생생함.
とかい[都会]  도회지; 도시; ‘都議会’의 준말
あわただしい[慌ただしい]  어수선하다; 총망하다; 분주하다
あわれ[哀れ]  불쌍함; 가련함; 정취·비애를 느끼게 하는 모양; 아; 진실로
ちぢめる[縮める]  줄어지도록 하다; 줄이다; 단축하다; 움츠리다
たまらない[堪らない]  참을 수 없다; 견딜 수 없다; 배길 수 없다; 견딜 재간이 없다
ちぢむ[縮む]  주름이 지다; 쪼글쪼글해지다; 줄어들다; 오그라들다; →ちぢめる
てんのう[天皇]  천황
あん[案]  안; 예상; 생각
ある[在る]  있다; 존재하다; 살아 있다; 무사히 있다
だまる[黙る]  말을 하지 않다; 가만히 있다
ちょう[町]  지방 자치 단체의 하나
いや[否]  싫어; 아냐; 아니오
いらっしゃい  ‘いらっしゃる’의 명령형인 ‘いらっしゃいませ’의 준말; 오십시오; ‘いらっしゃいました’의 준말; 잘 오셨습니다
ちゅうせい[中性]  중성; 중간의 성질; 남자 같은 여자; 또, 여자 같은 남자; 남성·여성 이외의 성
いる[煎る·炒る·熬る]  볶다; 지지다
とう[塔]  탑
ぼくじょう[牧場]  목장
いわい[祝(い)]  축하; 축하 행사; 또, 축하 선물
めぐる[巡る]  돌다; 순환·순회하다; 여기저기 들르다; 돌아다니다
いよいよ[愈·愈愈·弥弥]  점점; 더욱더; 드디어; 결국; 확실히; 정말
いらい[以来]  이래; 이후.; 금후; 앞으로
ぼうりょく[暴力]  폭력
ちゅうと[中途]  중도
いわば[言わば·謂わば]  말하자면; 비유해서 말한다면
いれもの[入(れ)物]  용기; 그릇
いんさつ[印刷]  인쇄
ちゅうせい[中世]  중세; 鎌倉·室町 시대의 일컬음
いちどに  일시에; 단번에; 한꺼번에
ちく[地区]  지구
いたずら[悪戯]  장난; 못된 장난; 몸가짐이 헤픔; 자기가 한 짓의 겸사말
ち[地]  땅; 지; 지면; 지상; 토지; 지방
たんぺん[短編]  단편
いたる[至る]  이르다; 도달하다; 닥치다; 찾아 오다
いちりゅう[一流]  일류; 제1급; 한 유파; 독특한 격식·방법
ちぎる[契る]  장래를 굳게 약속하다; 특히, 부부로서의 인연을 맺다
いっしゅ[一種]  일종; 조금; 뭔가
いっしゅん[一瞬]  일순; 그 순간; 일순간
だんち[団地]  단지; 아파트같은 근대적 집단 주택이 들어선 지역
とう[頭]  ‘蔵人頭’의 준말; 두; 필
いっそう[一層]  한층 더; 더욱더
ちえ[知恵]  지혜; 꾀
いったん[一旦]  일단; 한때; 잠시
いっち[一致]  일치
だんてい[断定]  단정
いっか[一家]  일가; 한 세대; 한 가족; 한 집
いっぱん[一般]  일반; 같음; 매일반임
いっぽう[一方]  일방; 한 방면; 한 방향; 한쪽; 한편
いつまでも  언제까지나; 영원히
いてん[移転]  이전; 이사; 권리의 양도
いど[井戸]  우물
いど[緯度]  위도
いどう[移動]  이동
ちいき[地域]  지역
いってい[一定]  일정
いね[稲]  벼; →おかぼ
たんしょ[短所]  단처; 단점; 결점
ちい[地位]  지위
たんじゅん[単純]  단순
いばる[威張る]  뽐내다; 거만하게 굴다; 으스대다
どう[同]  같음; 같은; 그
いふく[衣服]  의복; 옷
ちょう[兆]  조; 1억의 1만 배; 수가 많음
ちょう[庁]  관청; 관청을 나타내는 말
いまに[今に]  곧; 조만간; 머지않아; 언젠가
あいじょう[愛情]  애정; 사랑
たん[短]  짧음; 결점; 단처; 단…; 짧은
もち[餅]  떡; 찰떡
あくまで[飽く迄]  어디까지나; 철저하게; 끝까지
あくる[明くる]  다음의; 이듬…; 이튿…
あくま[悪魔]  악마
あけがた[明けがた·明け方]  새벽녘; 동틀녘
もたれる[凭れる·靠れる]  기대다; 의지하다; 먹은 것이 잘 삭지 않고 위에 남다; 트릿하다
ためらう[躊躇う]  주저하다; 망설이다; 방황하다; 같은 곳을 어정거리다
とい[問(い)]  물음; 질문; 문제
たんすい[淡水]  담수; 민물; 단물
あせる[焦る]  안달하다; 초조하게 굴다
たより[便り]  편의; 편리; 형편이 좋은 때; 기회; 소식; 편지
どういつ[同一]  동일; 같음; 차이가 없음; 동등
だぶだぶ  헐렁헐렁; 너무 살쪄서 뒤룩거리는 모양; 출렁출렁
あたる[当(た)る]  맞다; 갈다; 빻다; 오는; 다가오는
あちこち[彼方此方]  여기저기; 이곳 저곳; 엇갈리는 모양
あたり[辺り]  그 곳; 근처; …같은 곳; …어디; 쯤; 경
あちらこちら[彼方此方]  여기저기
だれか[誰か]  누군가
とうじ[当時]  당시; 그 무렵; 그때; 현금; 현재
あつかましい[厚かましい]  뻔뻔스럽다; 철면피하다
あっしゅく[圧縮]  압축
たんこう[炭鉱]  탄광
-とう[島]  …도; …섬
あっち[彼方]  저기; 저쪽; 저리
あいまい[曖昧]  모호; 애매; 불미로움; 좋지 못함
あおぐ[扇ぐ·煽ぐ]  부채질하다; 부치다
だんかい[段階]  단계
たんい[単位]  단위; 수량을 세는 기준으로서 정한 양; 고등학교 이상에서 학습량을 헤아리는 기준량; 학점
あいにく[生憎]  공교로운 모양; 공교롭게; 마침
あか[赤]  빨강; 적색·홍색·주홍색 등 붉은 계통의 빛깔의 총칭; 빨간
あかり[明(か)り]  환한 빛; 밝은 빛; 결백한 증거
あき[明き·空き]  속이 빔; 빈 곳; 빈터; 빈자리; 결원
あかじ[赤字]  적자; 결손; 빨간 빛깔로 바로잡은 글자
だん[段]  단; 상하의 구획; 계단
だん[団]  단체; 모임; 단체의 뜻
あきれる[呆れる·惘れる]  놀라다; 어이없다; 기가 막히다
たんす[簞笥]  옷장; 장롱
たんすう[単数]  단수; 홑수
たる[足る]  →たりる; 만족하다
あてな[宛(て)名]  수신인명
あてはまる[当てはまる]  꼭 들어맞다; 적합하다
あてはめる[当てはめる]  꼭 들어맞추다; 적용시키다
あてる[当てる]  맞히다; 명중시키다; 한몫 보다; 성공하다
あと[跡]  유적; 자취; 흔적; 자국; 자리
あな[穴]  구멍; 뚫린 공간; 구덩이
あばれる[暴れる]  난폭하게 굴다; 날뛰다; 전하여, 용감하고 대담한 행동을 하다
-だらけ  …투성이
だらしない  야무지지 못하다; 칠칠치 못하다; 깔끔하지 못하다
あぶら[脂]  기름; 굳기름; 기름기
ためし[試し]  시험; 시도
あみもの[編(み)物]  편물; 뜨개질; 또, 뜨개질한 것
あむ[編む]  엮다; 겯다; 편찬하다; 짜다
あぶる[炙る·焙る·燔る]  쬐어 굽다; 말리다; 덥게 하다
たよる[頼る]  의지하다; 의뢰하다; 연고를 찾아가다
あやまり[誤り]  잘못; 틀림; 실수
あら  어머
あらい[荒い]  거칠다; 거칠고 사납다; 난폭하다; 난폭하고 절도가 없다
あらい[粗い]  거칠다; 꺼칠꺼칠하다; 성기다; 조잡하다
か[課]  과; 관청·회사 등의 사무 조직상 소구분; 교재의 작은 한 구분
か-[下]  하…; 아래의
-か[日]  …일; …날
おん[恩]  은혜
おん[音]  음; 소리; 음색; 자음
ちょうり[調理]  조리; 요리함; 사물을 잘 처리하고 정리함
おんけい[恩恵]  은혜
-ちょうめ[丁目]  …가
がい[害]  해; 방해; 지장
-がい[外]  …외; 밖
めい[名]  명…; 유명한; …명; 인원수를 나타내는 말
か[可]  가; 좋음; 또, 좋다고 평가함
か[蚊]  모기
ほうもん[訪問]  방문
かい[貝]  조개; 조가비; 소라
つまる[詰(ま)る]  가득 차다; 잔뜩 쌓이다; 막히다; 메다
つみ[罪]  죄; 법을 어기는 행위; 전하여, 그 죄에 대한 처벌; 못할 짓; 무자비; 심함
かいかい[開会]  개회
つまり[詰(ま)り]  막힘; 막다른 곳; 오그라듦; 줄어듦
かいせい[改正]  개정
かいよう[海洋]  해양
かえす[帰す]  돌려보내다; 돌아가게 하다
かえって[却って·返って·反って·却而]  도리어; 오히려; 반대로
かえる[反る]  뒤집히다; 젖혀지다; 거꾸로 되다
かえる[代える]  대신하다; 대리케 하다
かえる[替える·換える]  바꾸다; 교환하다; 갈다
かおく[家屋]  가옥
かおり[薫り·香り]  향기; 좋은 냄새
かおつき[顔付き]  얼굴 생김새; 용모; 표정; 얼굴
かぎり[限り]  한; 끝; 한계; 한도; …껏
かぎる[限る]  경계·범위를 짓다; 제한하다; 한하다; …만은; …에 한해서
つとめる[務める]  역을 맡다; 역할을 다하다
つとめる[努める]  힘쓰다; 노력하다; 애쓰다
つづき[続き]  이음; 연결; 계속; 잇따름; 연속
かかわる[係わる]  관계되다; 관계가 있다; 구애되다
めん[綿]  면; 무명
めやす[目安]  목표; 대중; 주판셈에서, 주판의 오른편에 놓는 승수·제수; 자릿점; 요점을 조목별로 쓴 문서; 특히, 소장
かきね[垣根]  울타리; 담 밑; 격의; 장벽
つっこむ[突っ込む]  돌입하다; 깊이 파고들다; 처넣다; 처박다
かくど[角度]  각도
かく[搔く]  긁다; 할퀴다; 깎다; 파헤치다
かく[描く·画く]  그리다
かぐ[嗅ぐ]  냄새 맡다; 탐지하다
みぶん[身分]  신분; 사회에서의 지위; 법률상의 지위
がく[学]  학문; 학술; 지식
つくる[造る]  만들다; 짓다; 꾸미다; 건조하다
かくう[架空]  가공; 공중에 걸침; 상상으로 만듦
つば[唾]  침
かいすう[回数]  횟수
つねる[抓る]  꼬집다
かいせい[快晴]  쾌청
かいけい[会計]  회계
つまずく[躓く]  발이 걸려 넘어지다; 발이 무엇에 채이다; 좌절하다; 실패하다
かいけん[会見]  회견
がいこう[外交]  외교
かいつう[開通]  개통
かいさん[解散]  해산
かいし[開始]  개시; 시작
かいさつ[改札]  개찰
かいしゃく[解釈]  해석
かいさい[開催]  개최
めん[面]  면; 얼굴; 거문고·거울·테니스 코트 등 평평한 것을 세는 말
かいふく[回復]  회복
つなげる[繫げる]  →つなぐ
かいぜん[改善]  개선
かいぞう[改造]  개조
がいろん[概論]  개론
つながる[繋がる・繫がる]  이어지다; 연결되다; 붙어 있다; 연잇다; 계속되다
かいとう[回答]  회답
かいとう[解答]  해답
かいてき[快適]  쾌적
かいてん[回転]  회전
かかえる[抱える]  안다; 팔에 안다; 부둥켜 들다; 끼다
つながり[繫がり]  연계; 이어짐; 또, 그것; 관계; 유대
つな[綱]  밧줄; 비유적으로, 의지하는 것; 横綱
かいほう[開放]  개방
かいほう[解放]  해방
-づらい[辛い]  …하기가 어렵다, 견디기 어렵다의 뜻을 나타냄
かん[刊]  간; 간행; 출판
めちゃくちゃ[目茶苦茶·滅茶苦茶]  엉망; 형편없음; 마구 하는 모양
かん[巻]  두루마리; 책; 서적; 권; 책 따위를 세는 말
かわら[瓦]  기와; 무가치한 것의 비유
かん[間]  간; 틈; 스파이; 첩자
かわる[代(わ)る]  대리하다; 대표하다
かん[感]  감; 느낌; …감; …느낌
かん[館]  관; 건물; 여관; 여인숙
つや[艶]  윤기; 광택; 남녀의 정사에 관한 일; 맛; 재미
がん[癌]  암
かんしょう[鑑賞]  감상
もと[元]  사물의 시작; 처음; 전의 상태; 본디; 전; 전직; 원
てつがく[哲学]  철학
つよき[強気]  성미가 강함; 또, 그 태도; 강세를 예상함; 또, 그 낌새; 모험을 하더라도 단숨에 이기려고 함
かんげい[歓迎]  환영
かんげき[感激]  감격
ほうていしき[方程式]  방정식; ‘化学方程式’의 준말
かんそう[乾燥]  건조
かんさい[関西]  옛날에, 逢坂関 서쪽 지방의 일컬음; 京都·大阪 지방
かんし[監視]  감시
かんさつ[観察]  관찰
がんじつ[元日]  원일; 설날; 1월 1일
ほうしゅつ[放出]  방출; 세차게 내뿜음
つめる[詰める]  채우다; 막다; 대기하다
かんとう[関東]  鈴鹿·不破·愛発의 세 옛 관문으로부터 동쪽의 여러 지방의 일컬음; 또, 逢坂関의 동쪽 여러 지방; 箱根의 동쪽 여러 지방; 東京 지방의 일컬음; 특히 東京·茨城·栃木·群馬·埼玉·千葉·神奈川의 1도 6현으로 이루어지는 지방
でし[弟子]  제자; 문하생
もと[基]  근본; 토대; 기초
でこぼこ[凸凹]  요철; 울퉁불퉁; 불균형
かんする[関する]  관계하다; …에 관계가 있다; …을 대상으로 하는
かんずる[感ずる]  느끼다; 감동하다; 반응하다
ぼうや[坊や]  아가; 철없는 젊은 사나이; 철부지
かもしれない[かも知れない]  …ㄹ지도 모른다
かもつ[貨物]  화물; 물품; ‘貨物列車’의 준말
で  助動詞 ‘だ’의 連用形; 고; 로서; ‘ある’ ‘あります’ ‘ございます’ 등에 연결됨
から[殻]  껍질; 껍데기; 허물; 외피; 두부찌꺼기; 비지
めっきり  뚜렷이; 현저히; 부쩍
かよう[歌謡]  가요
かよう[火曜]  화요
がら[柄]  몸집; 체격; 분수; 격; 성질·상태를 나타내는 말
かる[刈る]  베다; 깎다
つれ[連れ]  동행; 동반자; 함께 동작함; 그와 같은 정도·종류의 것·사람; →-づれ
かわせ[為替]  환; ‘為替手形’의 준말; ‘為替相場’의 준말
つるす[吊(る)す]  달아매다; 매달다
かわ[皮]  껍질; 가죽; 털가죽; 표면; 겉면
かわ[革]  가죽
かわいがる[可愛がる]  귀여워하다; 애지중지하다
つぶ[粒]  알; 둥글고 작은 것; 낱알; 주판의 알
つばさ[翼]  날개; 새 날개; 비행기 날개; 전하여, 비행기
つりあう[釣(り)合う]  균형이 잡히다; 어울리다; 적합하다
かわく[渇く]  목이 마르다; 물이 마르다; 몹시 바라다; 걸근거리다
かんき[換気]  환기
めじるし[目印]  안표; 표지; 표적
かんきゃく[観客·看客]  관객
かはんすう[過半数]  과반수
かび[黴]  곰팡이
かぶ[株]  그루터기; 그루; 포기; 주
かまう[構う]  관계하다; 상대하다; 염려하다; 추방형에 처하다
かま[釜]  솥; 가마
かね[鐘]  종; 종소리
かねつ[加熱]  가열
かねる[兼ねる]  겸하다; 그렇게 하기 어렵다
かのう[可能]  가능
かみのけ[髪の毛]  머리털; 머리카락
かぶせる[被せる]  덮다; 씌우다; 끼얹다; 넘겨 씌우다; 덮어 씌우다
めいれい[命令]  명령
からかう[揶揄う]  조롱하다; 놀리다
がまん[我慢]  참음; 자제; 용서함; 봐 줌; 아만; 자기를 훌륭히 생각하고 남을 깔봄
かみ[上]  위; 위쪽; 상류
てい-[低]  저…; 낮은
かみくず[紙くず]  종이 나부랑이; 휴지
かみそり[剃刀]  면도칼
かみなり[雷]  천둥; 우레; 벼락; 뇌신
